,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
ф,3.073484556969495E-4,1.229393822787798E-6,1.229393822787798E-5,4.917575291151192E-6,2.458787645575596E-6,1.9178543635489648E-4,0.0,2.458787645575596E-6,4.979044982290582E-4,0.0,9.835150582302385E-6,1.6105059078520153E-4,7.376362936726788E-6,1.5982119696241373E-5,2.446493707347718E-4,1.1064544405090182E-5,2.9013694217792035E-4,1.721151351902917E-5,1.1064544405090182E-5,1.5859180313962596E-4,6.63872664305411E-5,1.229393822787798E-6,0.0,0.0,1.3523332050665778E-5,0.0,1.967030116460477E-5,2.458787645575596E-6,0.0,1.229393822787798E-6,3.688181468363394E-6
х,0.001101536865217867,2.0530876840556226E-4,7.142778110397107E-4,1.6965634754471614E-4,2.1637331281065245E-4,1.327745328610822E-4,4.917575291151192E-5,9.343393053187265E-5,5.593741893684481E-4,0.0,4.1799389974785133E-4,2.2866725103853043E-4,2.581727027854376E-4,4.770048032416656E-4,0.002479687340562989,5.29868737621541E-4,3.073484556969495E-4,5.224923746848142E-4,2.5694330896264977E-4,3.147248186336763E-4,2.950545174690715E-5,3.811120850642174E-5,1.5982119696241373E-5,9.712211200023604E-5,4.425817762036073E-5,1.229393822787798E-6,0.0,1.4752725873453576E-5,6.14696911393899E-5,1.229393822787798E-6,3.565242086084614E-5
ц,7.142778110397107E-4,6.14696911393899E-6,8.974574906350926E-5,1.4752725873453576E-5,1.4752725873453576E-5,0.0011027662590406548,1.229393822787798E-6,1.8440907341816972E-5,3.9955299240603437E-4,0.0,1.1433362551926521E-4,3.688181468363394E-6,3.934060232920954E-5,5.286393437987532E-5,3.2824815068434207E-4,4.5487571443148524E-5,7.376362936726788E-6,4.302878379757293E-5,2.2129088810180365E-5,2.9136633600070815E-4,2.458787645575596E-6,1.229393822787798E-6,0.0,8.605756759514585E-6,2.458787645575596E-6,0.0,2.421905830891962E-4,0.0,7.376362936726788E-6,0.0,4.917575291151192E-6
ч,0.0022633140277523362,9.835150582302385E-6,1.721151351902917E-5,3.688181468363394E-6,6.14696911393899E-6,0.0036082708698821873,0.0,2.458787645575596E-6,0.0017260689271940684,0.0,3.036602742285861E-4,5.409332820266311E-5,8.605756759514585E-6,0.0011605477687116814,8.851635524072146E-5,8.605756759514585E-6,5.040514673429972E-5,1.5982119696241373E-5,0.0035013136072996488,6.110087299255356E-4,2.458787645575596E-6,1.229393822787798E-6,0.0,1.229393822787798E-6,1.0572786875975063E-4,0.0,0.0,3.1964239392482746E-4,2.458787645575596E-6,0.0,3.688181468363394E-6
ш,0.0012404583671928881,1.3523332050665778E-5,6.14696911393899E-5,6.14696911393899E-6,9.835150582302385E-6,0.0021883210045622807,1.229393822787798E-6,1.229393822787798E-6,0.0020063707187896866,0.0,4.5487571443148526E-4,4.5364632060869745E-4,2.8276057924119353E-5,3.8357087270979296E-4,2.446493707347718E-4,7.622241701284348E-5,1.3523332050665778E-5,1.3523332050665778E-5,2.5694330896264977E-4,2.5448452131707417E-4,1.229393822787798E-6,4.917575291151192E-6,3.688181468363394E-6,1.229393822787798E-6,4.917575291151192E-6,0.0,0.0,4.831517723556046E-4,0.0,1.229393822787798E-6,0.0
щ,4.966751044062704E-4,1.229393822787798E-6,3.688181468363394E-6,1.229393822787798E-6,0.0,0.0017924561936246096,0.0,0.0,9.355686991415143E-4,0.0,1.229393822787798E-6,1.229393822787798E-6,0.0,1.4506847108896017E-4,1.229393822787798E-6,2.458787645575596E-6,7.376362936726788E-6,1.229393822787798E-6,2.458787645575596E-6,1.327745328610822E-4,0.0,0.0,0.0,1.229393822787798E-6,0.0,0.0,0.0,3.073484556969495E-5,1.229393822787798E-6,0.0,0.0
ы,9.958089964581164E-5,5.96256004052082E-4,0.001765409529523278,2.3112603868410603E-4,2.999720927602227E-4,0.0018760549735741799,6.14696911393899E-5,2.458787645575596E-4,5.052808611657849E-4,0.002415758861778023,5.519978264317213E-4,0.001996535568207384,0.0021391452516507686,7.855826527614029E-4,3.675887530135516E-4,7.216541739764375E-4,4.80692984710029E-4,0.001406426533269241,0.0010818665640532623,1.7211513519029172E-4,9.835150582302385E-6,0.00163017620901662,2.0899694987392567E-5,3.5529481478567364E-4,5.532272202545091E-4,1.229393822787798E-5,0.0,0.0,1.0203968729138723E-4,1.229393822787798E-6,8.851635524072146E-5
ь,3.2947754450712987E-4,7.019838728118327E-4,0.001204805946332042,2.5325512749428637E-4,4.327466256213049E-4,0.0010978486837495036,7.007544789890448E-5,4.376642009124561E-4,8.88851733875578E-4,0.0,0.001978094660865567,1.7580331665865512E-4,6.982956913434693E-4,0.002683766715145763,7.351775060271032E-4,9.466332435466044E-4,2.2866725103853043E-4,0.0020063707187896866,6.614138766598353E-4,2.458787645575596E-4,8.482817377235807E-5,8.728696141793366E-5,1.4138028962059677E-4,4.2045268739342693E-4,5.42162675849419E-4,2.2129088810180365E-5,0.0,0.0,1.893266487093209E-4,6.417435754952305E-4,5.446214634949946E-4
э,1.229393822787798E-6,4.917575291151192E-6,1.229393822787798E-5,4.1799389974785135E-5,3.6881814683633944E-5,1.229393822787798E-6,2.458787645575596E-6,1.229393822787798E-6,2.458787645575596E-6,6.76166602533289E-5,9.835150582302384E-5,9.220453670908485E-5,3.934060232920954E-5,8.482817377235807E-5,0.0,2.7046664101331556E-5,1.6719755989914054E-4,3.934060232920954E-5,0.0026001679351961926,0.0,7.376362936726788E-6,2.0899694987392567E-5,0.0,0.0,3.811120850642174E-5,0.0,0.0,0.0,0.0,0.0,0.0
ю,8.728696141793366E-5,3.823414788870052E-4,2.729254286588912E-4,1.364627143294456E-4,5.901090349381431E-4,6.76166602533289E-5,8.974574906350926E-5,1.229393822787798E-4,2.458787645575596E-4,5.286393437987532E-5,2.987426989374349E-4,9.220453670908485E-5,1.831796795953819E-4,3.1964239392482746E-4,1.7826210430423072E-4,3.2333057539319087E-4,1.856384672409575E-4,4.5733450207706086E-4,0.0010314614173189626,6.02402973166021E-5,1.721151351902917E-5,4.917575291151192E-5,3.811120850642174E-5,2.9259572982349595E-4,6.26990849621777E-5,6.171556990394746E-4,0.0,0.0,4.917575291151192E-5,4.425817762036073E-5,7.376362936726789E-5
я,2.446493707347718E-4,4.979044982290582E-4,0.001722380745725705,5.593741893684481E-4,0.001095389896103928,5.212629808620264E-4,4.376642009124561E-4,0.0011482538304838034,9.134396103313339E-4,2.950545174690715E-5,0.001150712618129379,9.945796026353286E-4,9.011456721034559E-4,0.0021747976725116146,7.831238651158273E-4,0.0012453759424840393,3.614417838996126E-4,0.002013747081726413,0.002214138274840824,2.8890754835513255E-4,5.040514673429972E-5,3.4791845184894683E-4,7.622241701284348E-5,4.6594025883657547E-4,6.51578726077533E-5,3.4423027038058343E-4,0.0,0.0,1.7457392283586732E-4,1.9670301164604768E-4,2.8398997306398134E-4
